date|close_price|high_price|low_price
11/12/2014|550.11|557.96|547.55
12/12/2014|553.93|554.82|547.69
15/12/2014|547.93|554.35|547.93
16/12/2014|535.14|545.66|535.00
17/12/2014|518.22|536.64|513.06
18/12/2014|528.45|528.60|521.33
19/12/2014|523.09|533.30|522.10
22/12/2014|537.54|537.54|527.28
23/12/2014|537.88|543.22|532.78
24/12/2014|539.44|541.73|536.79
25/12/2014|532.01|537.47|531.52
26/12/2014|533.37|537.89|527.41
29/12/2014|532.68|538.83|528.63
30/12/2014|537.57|537.57|526.61
31/12/2014|545.63|546.62|537.91
05/01/2015|544.45|549.22|543.78
06/01/2015|549.66|550.11|538.82
07/01/2015|552.05|555.83|548.44
08/01/2015|553.47|556.80|552.15
09/01/2015|569.73|570.52|555.53
12/01/2015|574.32|579.73|574.07
13/01/2015|580.60|580.65|573.26
14/01/2015|577.01|582.21|571.67
15/01/2015|577.74|581.24|575.36
16/01/2015|574.81|578.51|574.08
19/01/2015|571.51|579.06|570.10
20/01/2015|572.22|574.96|570.14
21/01/2015|569.12|574.41|569.12
22/01/2015|574.54|576.48|567.82
23/01/2015|582.38|583.57|577.57
26/01/2015|580.64|586.76|580.64
27/01/2015|579.30|584.28|575.50
28/01/2015|583.76|584.35|578.59
29/01/2015|583.28|585.66|580.37
30/01/2015|576.07|584.08|574.46
02/02/2015|570.37|579.73|570.37
03/02/2015|557.47|574.83|557.47
04/02/2015|561.45|561.69|553.21
05/02/2015|567.17|568.22|562.05
06/02/2015|574.13|574.36|569.03
09/02/2015|573.55|577.04|572.79
10/02/2015|574.52|578.42|574.24
11/02/2015|581.76|581.76|574.88
12/02/2015|584.67|584.99|581.86
13/02/2015|587.24|589.02|585.60
24/02/2015|596.95|596.95|589.74
25/02/2015|592.66|601.55|592.66
26/02/2015|596.72|597.07|591.78
27/02/2015|592.57|598.40|590.58
02/03/2015|590.73|593.72|588.59
03/03/2015|596.72|597.45|590.42
04/03/2015|600.39|600.69|595.34
05/03/2015|596.91|602.40|596.75
06/03/2015|593.97|598.33|592.71
09/03/2015|588.44|596.32|587.27
10/03/2015|589.66|591.17|586.38
11/03/2015|586.54|590.56|586.49
12/03/2015|588.53|589.67|585.48
13/03/2015|586.10|591.75|586.10
16/03/2015|580.80|586.19|580.55
17/03/2015|581.76|583.59|580.60
18/03/2015|578.68|581.53|577.26
19/03/2015|573.74|580.32|573.52
20/03/2015|575.44|577.56|571.92
23/03/2015|570.89|579.39|570.44
24/03/2015|567.43|569.91|562.07
25/03/2015|560.93|568.40|559.87
26/03/2015|556.16|559.68|553.19
27/03/2015|551.42|561.13|549.65
30/03/2015|545.19|554.26|545.07
31/03/2015|551.13|552.72|544.87
01/04/2015|538.91|551.69|537.30
02/04/2015|546.85|546.85|536.87
03/04/2015|547.85|550.30|544.22
06/04/2015|542.97|549.28|542.97
07/04/2015|548.11|548.37|540.79
08/04/2015|547.72|551.23|546.29
09/04/2015|550.52|552.53|546.76
10/04/2015|554.03|557.65|550.96
13/04/2015|559.54|559.68|555.97
14/04/2015|558.67|562.95|558.49
15/04/2015|564.50|565.39|558.94
16/04/2015|568.28|570.68|564.50
17/04/2015|568.32|572.76|568.28
20/04/2015|565.04|568.83|562.66
21/04/2015|562.24|567.52|562.24
22/04/2015|562.51|565.04|561.53
23/04/2015|561.25|564.45|557.57
24/04/2015|565.77|567.36|561.56
27/04/2015|562.40|568.47|562.40
04/05/2015|545.08|563.36|545.08
05/05/2015|552.65|552.65|539.04
06/05/2015|549.30|555.51|548.17
07/05/2015|552.98|554.22|547.53
08/05/2015|554.51|556.39|550.93
11/05/2015|551.67|556.20|550.57
12/05/2015|544.41|552.56|542.70
13/05/2015|542.82|546.99|538.76
14/05/2015|543.69|545.00|540.72
15/05/2015|537.44|545.48|537.44
18/05/2015|528.95|536.71|528.90
